鷺巣詩郎,,Blaze of the Soul Reaper,09 Jan 2008 06:23
鷺巣詩郎,,Battle Ignition,09 Jan 2008 06:21
Evanescence,Fallen,Taking Over Me,22 Dec 2007 07:23
Evanescence,Fallen,Imaginary,22 Dec 2007 07:19
Evanescence,Fallen,Tourniquet,22 Dec 2007 07:14
Evanescence,Fallen,Haunted,22 Dec 2007 07:11
Evanescence,Fallen,My Immortal,22 Dec 2007 07:07
Evanescence,Fallen,Everybody's Fool,22 Dec 2007 07:04
Evanescence,Fallen,Bring Me to Life,22 Dec 2007 07:00
Linkin Park,Minutes to Midnight,Given Up,21 Dec 2007 03:33
Linkin Park,Minutes to Midnight,Wake,21 Dec 2007 03:31
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:09
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:08
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:06
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:05
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:03
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:02
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:00
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:00
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 19:59
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 19:58
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:28
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:27
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:25
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:24
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:19
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:17
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:16
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:14
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:13
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:11
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:10
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:01
D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:00
Paul Linford and Chris Vrenna,,Most Wanted Mash Up,16 Dec 2007 00:17
Jamiroquai,,Feels Just Like it Should (Timo Maas Remix),16 Dec 2007 00:14
Avenged Sevenfold,,Blinded in Chains,16 Dec 2007 00:08
Paul Linford and Chris Vrenna,,The Mann,16 Dec 2007 00:05
Bullet for My Valentine,,Hand of Blood,16 Dec 2007 00:01
Evol Intent Mayhem & Thinktank,,Broken Sword,15 Dec 2007 23:56
Mastodon,,Blood and Thunder,15 Dec 2007 23:52
Stratus,,You Must Follow (Evol Intent VIP),15 Dec 2007 23:48
The Roots and BT,,Tao of the Machine (Scott Humphrey's remix),15 Dec 2007 23:45
The Prodigy,,You'll Be Under My Wheels,15 Dec 2007 23:41
Disturbed,,Decadence,15 Dec 2007 23:38
Diesel Boy + Kaos,,Barrier Break,15 Dec 2007 23:32
Static-X,,Skinnyman,15 Dec 2007 23:28
Hyper,,We Control,15 Dec 2007 23:26
Celldweller,,One Good Reason,15 Dec 2007 23:22
Ils,,Feed The Addiction,15 Dec 2007 23:18
Lupe Fiasco,,Tilted,15 Dec 2007 23:15
Celldweller feat. Styles of Beyond,,Shapeshifter,15 Dec 2007 23:12
DJ Spooky and Dave Lombardo,,B-Side Wins Again,15 Dec 2007 23:08
Hush,,Fired Up,15 Dec 2007 23:04
Juvenile,,Sets Go Up,15 Dec 2007 23:01
The Perceptionists,,Let's Move,15 Dec 2007 22:58
Suni Clay,,In a Hood Near You,15 Dec 2007 22:54
[unknown],,I Am Rock,15 Dec 2007 22:51
T.I. Presents THE P$C,,Do Ya Thang,15 Dec 2007 22:47
Styles of Beyond,,Nine Thou (Superstars remix),15 Dec 2007 22:43
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 20:09
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 20:05
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 20:01
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 19:57
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 19:53
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 19:49
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 19:45
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 19:41
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 19:37
System of a Down,Mezmerize,Radio/Video,06 Dec 2007 19:33
