username,artist,album,song,date
HeyDottore,Visions of Atlantis,Eternal Endless Infinity,Atlantis Farewell...,07 Dec 2008 20:02
HeyDottore,Jean-Jacques Burnel,Gankutsuou Original Soundtrack,We Were Lovers,07 Dec 2008 19:59
HeyDottore,Jean-Jacques Burnel,Gankutsuou Original Soundtrack,We Were Lovers,07 Dec 2008 19:55
HeyDottore,Jean-Jacques Burnel,Gankutsuou Original Soundtrack,We Were Lovers,07 Dec 2008 19:52
HeyDottore,Visions of Atlantis,Eternal Endless Infinity,Atlantis Farewell...,07 Dec 2008 19:48
HeyDottore,Jean-Jacques Burnel,Gankutsuou Original Soundtrack,We Were Lovers,07 Dec 2008 19:45
HeyDottore,Nightwish,Century Child,Forever Yours,07 Dec 2008 19:41
HeyDottore,Visions of Atlantis,Eternal Endless Infinity,Atlantis Farewell...,07 Dec 2008 19:37
HeyDottore,Nightwish,Century Child,Forever Yours,07 Dec 2008 18:54
HeyDottore,Jean-Jacques Burnel,Gankutsuou Original Soundtrack,We Were Lovers,07 Dec 2008 18:51
HeyDottore,Jean-Jacques Burnel,Gankutsuou Original Soundtrack,We Were Lovers,07 Dec 2008 18:48
HeyDottore,Jean-Jacques Burnel,Gankutsuou Original Soundtrack,We Were Lovers,07 Dec 2008 18:44
HeyDottore,Nightwish,Century Child,Forever Yours,07 Dec 2008 18:40
HeyDottore,Nightwish,Album,End of All Hope,07 Dec 2008 18:05
HeyDottore,Nightwish,Ever Dream (single),Ever Dream,07 Dec 2008 18:01
HeyDottore,Olivia,synchronicity,crystalline,07 Dec 2008 17:50
HeyDottore,Nightwish,Oceanborn,Devil & The Deep Dark Ocean,07 Dec 2008 17:46
HeyDottore,Nightwish,Century Child,Ocean Soul,07 Dec 2008 17:41
HeyDottore,Olivia,synchronicity,crystalline,07 Dec 2008 17:35
HeyDottore,Nightwish,The Carpenter,Only Dust Moves...,07 Dec 2008 16:31
HeyDottore,Nightwish,,Wish You Were Here,07 Dec 2008 16:24
HeyDottore,Nightwish,Over the Hills and Far Away,Away,07 Dec 2008 16:20
HeyDottore,Nightwish,Dark Passion Play,Whoever Brings the Night,07 Dec 2008 16:16
HeyDottore,Nightwish,Century Child,Beauty of the Beast,07 Dec 2008 16:05
HeyDottore,Nightwish,Once,Romanticide,07 Dec 2008 16:00
HeyDottore,Nightwish,Amaranth CDS,While Your Lips Are Still Red,07 Dec 2008 15:56
HeyDottore,Nightwish,Oceanborn,Devil & The Deep Dark Ocean,07 Dec 2008 15:52
HeyDottore,Olivia,synchronicity,crystalline,07 Dec 2008 15:46
HeyDottore,Olivia,synchronicity,crystalline,07 Dec 2008 15:37
HeyDottore,HIM,,The Funeral of Hearts,07 Dec 2008 15:33
HeyDottore,Within Temptation,The Silent Force,The Swan Song (Bonustrack),07 Dec 2008 15:28
HeyDottore,Olivia,Dress me Up,Dress me Up (English Version),07 Dec 2008 15:23
HeyDottore,Megumi Ida,Tsuki no Akari -Final Fantasy IV Theme of Love-,Tsuki no Akari -Final Fantasy IV Theme of Love-,07 Dec 2008 15:14
HeyDottore,Nightwish,Once,Dead Gardens,07 Dec 2008 15:10
HeyDottore,Nightwish,Oceanborn,Nightwish - Oceanborn - 05 - Passion And The Opera,07 Dec 2008 15:05
HeyDottore,Nightwish,Century Child,Ocean Soul,07 Dec 2008 15:01
HeyDottore,Nightwish,Century Child,Feel For You,07 Dec 2008 14:57
HeyDottore,Visions of Atlantis,Eternal Endless Infinity,Atlantis Farewell...,07 Dec 2008 14:53
HeyDottore,Nightwish,Amaranth CDS,While Your Lips Are Still Red,07 Dec 2008 14:49
HeyDottore,Nightwish,Century Child (bonus track),Long Lost Love,07 Dec 2008 14:43
HeyDottore,Saint Seiya,OST VII,Under Sea Temple,07 Dec 2008 14:39
HeyDottore,Anna Tsuchiya,NANA,rose,07 Dec 2008 14:38
HeyDottore,Olivia,synchronicity,crystalline,07 Dec 2008 14:32
HeyDottore,Tom Tykwer Johnny Klimek & Reinhold Heil,Das Parfum (OST),Lost Love,07 Dec 2008 14:30
HeyDottore,OLIVIA inspi' REIRA (TRAPNEST),a little pain,tears & rainbows,07 Dec 2008 14:25
HeyDottore,Nightwish,Over the Hills And Far Away (EP),Over the Hills and Far Away,07 Dec 2008 14:20
HeyDottore,OLIVIA inspi'REIRA [TRAPNEST],a little pain,a little pain,07 Dec 2008 14:15
HeyDottore,This Mortal Coil,It'll End in Tears,Song to the Siren,07 Dec 2008 14:12
HeyDottore,Olivia,Wish,Close your eyes,07 Dec 2008 14:01
HeyDottore,Olivia,Dress me Up,Pass me the Sugar,07 Dec 2008 13:56
HeyDottore,植松伸夫,FINAL FANTASY VI,Aria Di Mezzo Carattere,07 Dec 2008 13:50
HeyDottore,Bon Jovi,,Always,07 Dec 2008 13:44
HeyDottore,Nightwish,Amaranth CDS,While Your Lips Are Still Red,07 Dec 2008 13:40
HeyDottore,Nightwish,Wishmaster,The Kinslayer,07 Dec 2008 13:36
HeyDottore,Within Temptation,Mother Earth,Our Farewell,07 Dec 2008 13:31
HeyDottore,This Mortal Coil,,Song to the Siren,07 Dec 2008 13:27
HeyDottore,Nightwish,Century Child,Ocean Soul,07 Dec 2008 13:23
HeyDottore,Nightwish,Amaranth CDS,While Your Lips Are Still Red,06 Dec 2008 23:40
HeyDottore,Nightwish,Once,Wish I Had an Angel,06 Dec 2008 23:36
HeyDottore,OLIVIA inspi' REIRA (TRAPNEST),a little pain,tears & rainbows,06 Dec 2008 23:31
HeyDottore,Nightwish,Ever Dream (single),Ever Dream,06 Dec 2008 23:26
HeyDottore,Within Temptation,The Silent Force,Within Temptation / Pale,06 Dec 2008 23:22
HeyDottore,Nightwish,Once,Kuolema tekee taiteilijan,06 Dec 2008 23:17
HeyDottore,Nightwish,Oceanborn,Walking in the Air,06 Dec 2008 23:12
HeyDottore,Nightwish,Amaranth CDS,While Your Lips Are Still Red,06 Dec 2008 23:05
HeyDottore,Visions of Atlantis,Eternal Endless Infinity,Atlantis Farewell...,06 Dec 2008 23:00
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 22:54
HeyDottore,Secondhand Serenade,Awake,Your Call,06 Dec 2008 22:50
HeyDottore,HIM,,The Funeral of Hearts,06 Dec 2008 22:47
HeyDottore,Nightwish,Century Child,Ocean Soul,06 Dec 2008 22:42
HeyDottore,Nightwish,Amaranth CDS,While Your Lips Are Still Red,06 Dec 2008 22:38
HeyDottore,Olivia,Dress me Up,Pass me the Sugar (English Version),06 Dec 2008 22:31
HeyDottore,Anna Tsuchiya,NANA,rose,06 Dec 2008 22:28
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 22:23
HeyDottore,Anna Tsuchiya,NANA,rose,06 Dec 2008 22:20
HeyDottore,Megumi Ida,Tsuki no Akari -Final Fantasy IV Theme of Love-,Tsuki no Akari -Final Fantasy IV Theme of Love-,06 Dec 2008 22:16
HeyDottore,Nightwish,Oceanborn,Nightwish - Oceanborn - 05 - Passion And The Opera,06 Dec 2008 22:11
HeyDottore,Nightwish,The Carpenter,Only Dust Moves...,06 Dec 2008 22:04
HeyDottore,Nightwish,Sleeping Sun Single,Sleeping Sun,06 Dec 2008 22:00
HeyDottore,Nightwish,End of an Era,Planet Hell,06 Dec 2008 21:55
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 21:50
HeyDottore,Nightwish,,Wish You Were Here,06 Dec 2008 21:45
HeyDottore,This Mortal Coil,It'll End in Tears,Song to the Siren,06 Dec 2008 21:41
HeyDottore,Olivia,Wish,Close your eyes,06 Dec 2008 21:36
HeyDottore,Nightwish,Wishmaster,Two for Tragedy,06 Dec 2008 21:32
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 21:27
HeyDottore,Nightwish,Century Child,Ocean Soul,06 Dec 2008 21:20
HeyDottore,Nightwish,Nightwish,Night Guest,06 Dec 2008 21:15
HeyDottore,OLIVIA inspi'REIRA [TRAPNEST],a little pain,a little pain,06 Dec 2008 21:10
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 21:05
HeyDottore,Visions of Atlantis,,Mermaid's Wintertale,06 Dec 2008 21:01
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 20:56
HeyDottore,Nightwish,Once,Dark Chest of Wonders,06 Dec 2008 20:51
HeyDottore,Olivia,Dress me Up,So Beautiful,06 Dec 2008 20:46
HeyDottore,This Mortal Coil,,Song to the Siren,06 Dec 2008 20:43
HeyDottore,Nightwish,Angels Fall First,Lappi (Lapland) I) Eramaajarvi,06 Dec 2008 20:41
HeyDottore,Nightwish,Nightwish,Night Guest,06 Dec 2008 20:36
HeyDottore,Nightwish,Over the Hills And Far Away (EP),Over the Hills and Far Away,06 Dec 2008 20:31
HeyDottore,Nightwish,Wishmaster,The Kinslayer,06 Dec 2008 20:27
HeyDottore,植松伸夫,Final Fantasy N Generation,Theme of Love (Arranged Version) (FFIV),06 Dec 2008 20:18
HeyDottore,Nightwish,Oceanborn,Devil & The Deep Dark Ocean,06 Dec 2008 20:14
HeyDottore,Nightwish,Amaranth CDS,While Your Lips Are Still Red,06 Dec 2008 20:09
HeyDottore,Bon Jovi,,Bed Of Roses,06 Dec 2008 20:03
HeyDottore,Saint Seiya,OST VII,Under Sea Temple,06 Dec 2008 19:59
HeyDottore,Nightwish,Over the Hills and Far Away,Astral Romance,06 Dec 2008 19:54
HeyDottore,Visions of Atlantis,Cast Away,Send Me a Light,06 Dec 2008 19:49
HeyDottore,Secondhand Serenade,Awake,Your Call,06 Dec 2008 19:45
HeyDottore,Nightwish,Century Child,Ocean Soul,06 Dec 2008 19:41
HeyDottore,Within Temptation,The Silent Force,Within Temptation / Pale,06 Dec 2008 19:36
HeyDottore,Nightwish,Sleeping Sun Single,Sleeping Sun,06 Dec 2008 19:32
HeyDottore,Olivia,Wish,Starless Night,06 Dec 2008 19:28
HeyDottore,Within Temptation,The Heart of Everything,The Truth Beneath the Rose,06 Dec 2008 19:21
HeyDottore,Nightwish,Century Child,Feel For You,06 Dec 2008 19:17
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 19:12
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 19:06
HeyDottore,Nightwish,Wishmaster,Sleepwalker (bonus track),06 Dec 2008 19:03
HeyDottore,Nightwish,Wishmaster,She Is My Sin,06 Dec 2008 18:26
HeyDottore,Aerosmith,Armageddon,I Don't Want to Miss a Thing,06 Dec 2008 18:19
HeyDottore,Nightwish,Amaranth CDS,While Your Lips Are Still Red,06 Dec 2008 18:15
HeyDottore,Megumi Ida,Tsuki no Akari -Final Fantasy IV Theme of Love-,Tsuki no Akari -Final Fantasy IV Theme of Love-,06 Dec 2008 18:04
HeyDottore,Nightwish,Century Child,Slaying the Dreamer,06 Dec 2008 18:00
HeyDottore,Within Temptation,The Silent Force,The Swan Song (Bonustrack),06 Dec 2008 17:56
HeyDottore,Nightwish,Once,Dead Gardens,06 Dec 2008 17:52
HeyDottore,Olivia,Wish,Wish,06 Dec 2008 17:48
HeyDottore,Olivia,synchronicity,Color of your Spoon,06 Dec 2008 17:42
HeyDottore,Nightwish,Century Child,Ocean Soul,06 Dec 2008 17:38
HeyDottore,Saint Seiya,Hits 2,Lullaby,06 Dec 2008 13:39
HeyDottore,Nightwish,Angels Fall First,Lappi (Lapland IV) Etiäinen,06 Dec 2008 13:36
HeyDottore,Bon Jovi,,Always,06 Dec 2008 13:30
HeyDottore,Nightwish,Album,End of All Hope,06 Dec 2008 13:20
HeyDottore,Nightwish,Century Child (bonus track),Long Lost Love,06 Dec 2008 13:11
HeyDottore,Nightwish,Angels Fall First,Lappi 3 This Moment Is Eternity,06 Dec 2008 13:08
HeyDottore,Nightwish,Over the Hills and Far Away,Away,06 Dec 2008 13:03
HeyDottore,Nightwish,Century Child,End of All Hope,06 Dec 2008 12:59
HeyDottore,Olivia,synchronicity,crystalline,06 Dec 2008 12:54
HeyDottore,Nightwish,Once,Ghost Love Score,06 Dec 2008 12:47
HeyDottore,Lunatica,The Edge of Infinity,The Edge of Infinity,06 Dec 2008 12:43
HeyDottore,Nightwish,,Wish You Were Here,06 Dec 2008 12:38
HeyDottore,Leaves' Eyes,Lovelorn,The Dream,06 Dec 2008 12:33
HeyDottore,Nightwish,Over the Hills and Far Away,Away,06 Dec 2008 12:29
HeyDottore,Nightwish,Century Child (bonus track),Long Lost Love,06 Dec 2008 12:23
HeyDottore,Visions of Atlantis,Eternal Endless Infinity,Atlantis Farewell...,06 Dec 2008 12:19
HeyDottore,Visions of Atlantis,Eternal Endless Infinity,Atlantis Farewell...,06 Dec 2008 12:16
HeyDottore,Nightwish - Tarja Project,,Sadness In The Night,06 Dec 2008 12:09
HeyDottore,Visions of Atlantis,Trinity,Seven Seas,06 Dec 2008 12:05
HeyDottore,Lunatica,Atlantis,Garden of Delight,06 Dec 2008 11:59
HeyDottore,OLIVIA inspi' REIRA (TRAPNEST),Wish,Starless Night,05 Dec 2008 22:46
HeyDottore,Olivia,synchronicity,soulmate,05 Dec 2008 22:40
HeyDottore,OLIVIA inspi' REIRA (TRAPNEST),NANA BEST,Nothing's gonna take my love,05 Dec 2008 22:36
HeyDottore,Olivia,The Lost Lolli,Into the Stars (Live Arrangement version),05 Dec 2008 22:31
HeyDottore,Olivia,The Lost Lolli,Alone in our Castle,05 Dec 2008 22:26
HeyDottore,Olivia,The Lost Lolli,Denial,05 Dec 2008 22:20
HeyDottore,Olivia,Dress me Up,Pass me the Sugar (English Version),05 Dec 2008 22:16
HeyDottore,Olivia,Melly & Hell Go Round,Spiderspins,05 Dec 2008 22:12
HeyDottore,OLIVIA inspi' REIRA (TRAPNEST),OLIVIA inspi' REIRA (TRAPNEST),recorded butterflies (studio l,05 Dec 2008 22:07
HeyDottore,Olivia,Dress me Up,Pass me the Sugar,05 Dec 2008 22:02
HeyDottore,OLIVIA inspi' REIRA (TRAPNEST),Wish,Close your eyes,05 Dec 2008 21:57
HeyDottore,Olivia,The Lost Lolli,Celestial Delinquent,05 Dec 2008 21:53
HeyDottore,OLIVIA inspi' REIRA (TRAPNEST),Wish,Starless Night,05 Dec 2008 21:49
HeyDottore,Nightwish,Wishmaster,She Is My Sin,05 Dec 2008 21:44
HeyDottore,Olivia,The Lost Lolli,Fake Flowers,05 Dec 2008 21:42
