username,artist,album,song,date
Nforgione11,Taylor Swift,Midnights,Midnight Rain,17 Nov 2022 15:16
Nforgione11,Headspace,Relax,Peaceful Forest Sun,17 Nov 2022 12:06
Nforgione11,Headspace,Relax,Together We Glow,17 Nov 2022 12:02
Nforgione11,Headspace,Relax,Doze,17 Nov 2022 11:58
Nforgione11,Headspace,Relax,Morning Light,17 Nov 2022 11:55
Nforgione11,Headspace,Relax,Drifting Away,17 Nov 2022 11:52
Nforgione11,Headspace,Relax,Canyons,17 Nov 2022 11:47
Nforgione11,Headspace,Relax,Melting Ice,17 Nov 2022 11:44
Nforgione11,Headspace,Relax,Color Dance,17 Nov 2022 11:41
Nforgione11,Headspace,Relax,Moon Clouds,17 Nov 2022 11:37
Nforgione11,Headspace,Relax,Slow Motion Highway,17 Nov 2022 10:51
Nforgione11,Headspace,Relax,Caravan,17 Nov 2022 10:48
Nforgione11,Headspace,Relax,Centenarian,17 Nov 2022 10:45
Nforgione11,Headspace,Relax,Seasons,17 Nov 2022 10:42
Nforgione11,Headspace,Relax,Cerro Torre,17 Nov 2022 10:39
Nforgione11,Headspace,Relax,Weightless,17 Nov 2022 10:36
Nforgione11,Headspace,Relax,Across The Land,17 Nov 2022 10:32
Nforgione11,Headspace,Relax,Stars That Shine,17 Nov 2022 10:28
Nforgione11,Headspace,Relax,Snooze,17 Nov 2022 10:25
Nforgione11,Headspace,Relax,End,17 Nov 2022 10:23
Nforgione11,Headspace,Relax,Motion of Water,17 Nov 2022 10:18
Nforgione11,Headspace,Relax,Peaceful Forest Sun,17 Nov 2022 10:15
Nforgione11,Headspace,Relax,Together We Glow,17 Nov 2022 10:10
Nforgione11,Headspace,Relax,Doze,17 Nov 2022 09:52
Nforgione11,Headspace,Relax,Morning Light,17 Nov 2022 09:49
Nforgione11,Headspace,Relax,Drifting Away,17 Nov 2022 09:46
Nforgione11,Headspace,Relax,Canyons,17 Nov 2022 09:43
Nforgione11,Headspace,Relax,Melting Ice,17 Nov 2022 09:42
Nforgione11,Headspace,Relax,Color Dance,17 Nov 2022 09:39
Nforgione11,Headspace,Relax,Moon Clouds,17 Nov 2022 09:35
Nforgione11,Headspace,Relax,Slow Motion Highway,17 Nov 2022 09:32
Nforgione11,Headspace,Relax,Caravan,17 Nov 2022 09:29
Nforgione11,Headspace,Relax,Centenarian,17 Nov 2022 09:26
Nforgione11,Headspace,Relax,Seasons,17 Nov 2022 09:23
Nforgione11,Headspace,Relax,Cerro Torre,17 Nov 2022 09:20
Nforgione11,Headspace,Relax,Weightless,17 Nov 2022 09:17
Nforgione11,Headspace,Relax,Across The Land,17 Nov 2022 09:13
Nforgione11,Headspace,Relax,Stars That Shine,17 Nov 2022 09:09
Nforgione11,Headspace,Relax,Snooze,17 Nov 2022 09:06
Nforgione11,Headspace,Relax,End,17 Nov 2022 09:04
Nforgione11,Headspace,Relax,Motion of Water,17 Nov 2022 08:58
Nforgione11,Headspace,Relax,Peaceful Forest Sun,17 Nov 2022 08:55
Nforgione11,Headspace,Relax,Together We Glow,17 Nov 2022 08:51
Nforgione11,Headspace,Relax,Doze,17 Nov 2022 08:48
Nforgione11,Headspace,Relax,Morning Light,17 Nov 2022 08:45
Nforgione11,Headspace,Relax,Drifting Away,17 Nov 2022 08:41
Nforgione11,Headspace,Relax,Canyons,17 Nov 2022 08:39
Nforgione11,Headspace,Relax,Melting Ice,17 Nov 2022 08:38
Nforgione11,Headspace,Relax,Color Dance,17 Nov 2022 08:34
Nforgione11,Headspace,Relax,Moon Clouds,17 Nov 2022 08:31
Nforgione11,Headspace,Relax,Slow Motion Highway,17 Nov 2022 08:28
Nforgione11,Headspace,Relax,Caravan,17 Nov 2022 08:25
Nforgione11,Headspace,HS Music Vol. 2,Doody Do,17 Nov 2022 08:19
Nforgione11,Headspace,HS Music Vol. 2,Turn Of Your Mind,17 Nov 2022 08:15
Nforgione11,Headspace,HS Music Vol. 2,Moonbeams,17 Nov 2022 08:13
Nforgione11,Headspace,HS Music Vol. 2,Home,17 Nov 2022 08:10
Nforgione11,Headspace,HS Music Vol. 2,Gentle Rings,17 Nov 2022 08:08
Nforgione11,Headspace,HS Music Vol. 2,Drift Off,17 Nov 2022 08:04
Nforgione11,Taylor Swift,Midnights,Midnight Rain,16 Nov 2022 12:57
Nforgione11,Carly Rae Jepsen,The Loneliest Time,Keep Away - Bonus Track,16 Nov 2022 12:53
Nforgione11,Carly Rae Jepsen,The Loneliest Time,The Loneliest Time (feat. Rufus Wainwright),16 Nov 2022 12:48
Nforgione11,Headspace,Relax,Weightless,15 Nov 2022 17:32
Nforgione11,Headspace,Relax,Across The Land,15 Nov 2022 17:28
Nforgione11,Headspace,Relax,Stars That Shine,15 Nov 2022 17:25
Nforgione11,Headspace,Radio Headspace Favorites,Remember Now,15 Nov 2022 17:11
Nforgione11,Headspace,HS Music Vol. 1,I Saw Light In Their Eyes,15 Nov 2022 17:08
Nforgione11,Headspace,Relax,Drifting Away,15 Nov 2022 17:05
Nforgione11,Headspace,HS Music Vol. 2,Curious Mind,15 Nov 2022 17:02
Nforgione11,Headspace,Radio Headspace Favorites,Makes Us Human,15 Nov 2022 16:57
Nforgione11,Headspace,HS Music Vol. 1,Rupee,15 Nov 2022 16:53
Nforgione11,Headspace,Relax,Peaceful Forest Sun,15 Nov 2022 16:50
Nforgione11,Headspace,HS Music Vol. 2,A Long Time Coming,15 Nov 2022 16:49
Nforgione11,Headspace,Radio Headspace Favorites,Motion of Water,15 Nov 2022 16:44
Nforgione11,Headspace,HS Music Vol. 1,Mind Over Matter,15 Nov 2022 16:41
Nforgione11,Headspace,Relax,End,15 Nov 2022 16:39
Nforgione11,Headspace,HS Music Vol. 2,Gentle Rings,15 Nov 2022 16:36
Nforgione11,Headspace,Radio Headspace Favorites,Sliding,15 Nov 2022 15:49
Nforgione11,Headspace,HS Music Vol. 1,Ocean Stir,15 Nov 2022 15:47
Nforgione11,Headspace,Relax,Canyons,15 Nov 2022 14:47
Nforgione11,Headspace,HS Music Vol. 2,Crystals,15 Nov 2022 14:42
Nforgione11,Headspace,Radio Headspace Favorites,Found By the River,15 Nov 2022 14:38
Nforgione11,Headspace,HS Music Vol. 1,Arial Slo Mo,15 Nov 2022 14:34
Nforgione11,Headspace,Relax,Melting Ice,15 Nov 2022 14:33
Nforgione11,Headspace,HS Music Vol. 2,Moonbeams,15 Nov 2022 14:27
Nforgione11,Headspace,Radio Headspace Favorites,Fincher,15 Nov 2022 14:25
Nforgione11,Headspace,HS Music Vol. 1,Scorpion,15 Nov 2022 14:22
Nforgione11,Headspace,Relax,Doze,15 Nov 2022 14:19
Nforgione11,Headspace,HS Music Vol. 2,Drift Off,15 Nov 2022 14:17
Nforgione11,Annie Lennox,Diva,Why,15 Nov 2022 14:11
Nforgione11,Luke Combs,This One's for You,Hurricane,15 Nov 2022 13:54
Nforgione11,Taylor Swift,Midnights,Anti-Hero,15 Nov 2022 13:51
Nforgione11,Taylor Swift,Midnights,Midnight Rain,15 Nov 2022 13:48
Nforgione11,Carly Rae Jepsen,The Loneliest Time,Keep Away - Bonus Track,15 Nov 2022 13:34
Nforgione11,Carly Rae Jepsen,The Loneliest Time,The Loneliest Time (feat. Rufus Wainwright),15 Nov 2022 13:30
Nforgione11,Carly Rae Jepsen,The Loneliest Time,Talking To Yourself,15 Nov 2022 13:27
Nforgione11,Carly Rae Jepsen,The Loneliest Time,Surrender My Heart,15 Nov 2022 13:24
Nforgione11,Headspace,Relax,Together We Glow,15 Nov 2022 12:32
Nforgione11,Headspace,Relax,Moon Clouds,15 Nov 2022 12:29
Nforgione11,Headspace,Relax,Weightless,15 Nov 2022 12:26
Nforgione11,Headspace,Relax,Motion of Water,15 Nov 2022 12:21
Nforgione11,Headspace,Relax,End,15 Nov 2022 12:18
Nforgione11,Headspace,Relax,Drifting Away,15 Nov 2022 12:15
Nforgione11,Headspace,Relax,Centenarian,15 Nov 2022 12:11
Nforgione11,Headspace,Relax,Melting Ice,15 Nov 2022 12:10
Nforgione11,Headspace,Relax,Canyons,15 Nov 2022 12:08
Nforgione11,Headspace,Relax,Seasons,15 Nov 2022 12:05
Nforgione11,Headspace,Relax,Cerro Torre,15 Nov 2022 12:02
Nforgione11,Headspace,Relax,Doze,15 Nov 2022 11:59
Nforgione11,Headspace,Relax,Slow Motion Highway,15 Nov 2022 11:55
Nforgione11,Headspace,Relax,Snooze,15 Nov 2022 11:52
Nforgione11,Headspace,Relax,Stars That Shine,15 Nov 2022 11:48
Nforgione11,Headspace,Relax,Morning Light,15 Nov 2022 11:45
Nforgione11,Headspace,Relax,Color Dance,15 Nov 2022 11:42
Nforgione11,Headspace,Relax,Peaceful Forest Sun,15 Nov 2022 11:39
Nforgione11,Headspace,Relax,Caravan,15 Nov 2022 11:36
Nforgione11,The Chicks,Gaslighter,Texas Man,14 Nov 2022 18:09
Nforgione11,Carly Rae Jepsen,The Loneliest Time,Talking To Yourself,14 Nov 2022 18:06
Nforgione11,Alexander Nate,bluejay,sweet virginia,14 Nov 2022 16:07
Nforgione11,Lady Gaga,Top Gun: Maverick (Music From The Motion Picture),Hold My Hand,14 Nov 2022 16:04
Nforgione11,Taylor Swift,Midnights,Anti-Hero,14 Nov 2022 15:58
Nforgione11,Taylor Swift,Midnights,Midnight Rain,14 Nov 2022 15:55
Nforgione11,Carly Rae Jepsen,The Loneliest Time,Surrender My Heart,14 Nov 2022 15:52
Nforgione11,Carly Rae Jepsen,The Loneliest Time,Talking To Yourself,14 Nov 2022 00:32
Nforgione11,Carly Rae Jepsen,The Loneliest Time,The Loneliest Time (feat. Rufus Wainwright),14 Nov 2022 00:28
Nforgione11,George Ezra,Staying at Tamara's (Remixes),Shotgun (The Wild Remix),14 Nov 2022 00:26
Nforgione11,Taylor Swift,Midnights,Anti-Hero,14 Nov 2022 00:23
Nforgione11,Lainey Wilson,Sayin' What I'm Thinkin',Straight Up Sideways,14 Nov 2022 00:18
Nforgione11,Kevin Costner & Modern West,Tales from Yellowstone,Heaven's Gate (feat. Lily Costner),14 Nov 2022 00:16
Nforgione11,Whiskey Myers,Mud,Stone,14 Nov 2022 00:05
Nforgione11,Taylor Swift,Midnights,Midnight Rain,14 Nov 2022 00:01
Nforgione11,Carly Rae Jepsen,The Loneliest Time,Keep Away - Bonus Track,13 Nov 2022 23:57
