username,artist,album,song,date
Nuwanda66,Joe Bonamassa,Driving Towards The Daylight,Dislocated Boy,25 Jan 2013 02:37
Nuwanda66,Tommy Castro,Can't Keep A Good Man Down,Can't Keep A Good Man Down,06 Mar 2012 12:01
Nuwanda66,Beefeaters,Beefeaters / Meet You There,I Want You,23 Sep 2011 16:42
Nuwanda66,Wishbone Ash,Wishbone Ash,Blind Eye,23 Sep 2011 16:38
Nuwanda66,Buddy Guy,Blues Singer,Can't See Baby,23 Sep 2011 16:32
Nuwanda66,Albert Collins Robert Cray & Johnny Copeland,,T-Bone Shuffle,23 Sep 2011 16:27
Nuwanda66,Albert Cummings,Working Man,Workin' Man Blues,23 Sep 2011 16:23
Nuwanda66,Tedeschi Trucks Band,Revelator,Ball and Chain,23 Sep 2011 16:19
Nuwanda66,Joanne Shaw Taylor,Bluescaravan,Going Home,23 Sep 2011 16:14
Nuwanda66,Joni Mitchell,Wild Things Run Fast,Moon At The Window,23 Sep 2011 16:10
Nuwanda66,Oscar Peterson,Soul Español,Samba De Orfeu,23 Sep 2011 16:06
Nuwanda66,Duke Robillard,New Blues for Modern Man,Love Sick,23 Sep 2011 15:58
Nuwanda66,Tom Petty,Greatest Hits,Runnin' Down A Dream,23 Sep 2011 15:53
Nuwanda66,Electric Light Orchestra,Discovery,On the Run,23 Sep 2011 15:49
Nuwanda66,Popa Chubby,,The Wind Cries Mary,23 Sep 2011 15:43
Nuwanda66,Shirley Bassey,Greatest Hits,Big Spender,23 Sep 2011 15:41
Nuwanda66,Buddy Guy,Damn Right I've Got The Blues,Rememberin' Stevie,23 Sep 2011 15:34
Nuwanda66,Stacey Kent,The Boy Next Door,Ooh-Shoo-Be-Doo-Bee,23 Sep 2011 15:31
Nuwanda66,Johnny Winter,The Progressive Blues Experiment,Help Me,23 Sep 2011 15:23
Nuwanda66,Eric Clapton,The Cream of Clapton,After Midnight,23 Sep 2011 15:20
Nuwanda66,Joe Bonamassa,Dust Bowl,Sweet Rowena,23 Sep 2011 15:15
Nuwanda66,Roger Waters,Amused to Death,Amused to Death,23 Sep 2011 15:06
Nuwanda66,B.B. King & Eric Clapton,Riding with the King,Ten Long Years,23 Sep 2011 15:02
Nuwanda66,Jeff Beck,Truth,Rock My Plimsoul,23 Sep 2011 14:58
Nuwanda66,Van Morrison,Moondance,Caravan,23 Sep 2011 14:49
