The Young Dubliners,Saints and Sinners,Rosie,01 Jan 2011 22:32
Flatfoot 56,Jungle of the Midwest Sea,City on a Hill,01 Jan 2011 22:25
Blood or Whiskey,Cashed Out on Culture,Doors of Hope,01 Jan 2011 22:21
The Dubliners,Spirit of the Irish,Dirty Old Town,01 Jan 2011 22:17
Street Dogs,Fading American Dream,Shards of Life,01 Jan 2011 22:14
Enter The Haggis,Soapbox Heroes,Perfect Song,01 Jan 2011 22:07
Eluveitie,Spirit,The Song of Life,01 Jan 2011 22:03
Rise Against,Siren Song of the Counter Culture,Tip the Scales,01 Jan 2011 21:54
Greenland Whalefishers,Bergen Rock City Vol.5,Ramones,01 Jan 2011 21:51
Ska-P,Planeta Eskoria,Mestizaje,01 Jan 2011 21:47
Bad Religion,All Ages,We're Only Gonna Die,01 Jan 2011 21:45
The Real McKenzies,10000 Shots,Pour Decisions,01 Jan 2011 21:42
The Dreadnoughts,Legends Never Die,Fire Marshall Willy,01 Jan 2011 21:38
Dropkick Murphys,Blackout,The Outcast,01 Jan 2011 21:34
The Pogues,If I Should Fall From Grace With God,If I Should Fall From Grace With God,01 Jan 2011 21:32
Reel Big Fish,Turn the Radio Off,Beer,01 Jan 2011 21:28
Flogging Molly,Live At The Greek Theatre,The Seven Deadly Sins,01 Jan 2011 21:26
Bad Religion,The Gray Race,A Walk,01 Jan 2011 21:23
Rancid,And Out Come The Wolves,Lock Step & Gone,01 Jan 2011 21:21
Anti-Flag,The Terror State,Tearing Down The Borders,01 Jan 2011 21:18
The Young Dubliners,With All Due Respect - The Irish Sessions,McAlpine's Fusiliers,01 Jan 2011 21:14
The Dubliners,The Best Of,The Galway Races,01 Jan 2011 21:11
The Tossers,Long Dim Road,Mad Riot,01 Jan 2011 21:08
Street Dogs,Back to the World,In Defense of Dorchester,01 Jan 2011 21:06
Flogging Molly,Live At The Greek Theatre,Salty Dog,01 Jan 2011 21:03
The Real McKenzies,10000 Shots,Bugger Off,01 Jan 2011 21:01
The Bloody Irish Boys,Drunk Rock,Enniscorthy in a Bottle,01 Jan 2011 20:57
Dropkick Murphys,The Meanest of Times,God Willing,01 Jan 2011 20:54
The Dreadnoughts,Legends Never Die,The Dreadnought,01 Jan 2011 20:49
Gaelic Storm,Gaelic Storm,Tell Me Ma,01 Jan 2011 20:46
Social Distortion,Sex Love and Rock 'n' Roll,Don't Take Me for Granted,01 Jan 2011 20:42
Me First and the Gimme Gimmes,Have A Ball,Mandy,01 Jan 2011 20:40
The Real McKenzies,The Real McKenzies,Scots Wha' Ha'e,01 Jan 2011 20:37
Streetlight Manifesto,Everything Goes Numb,Here's To Life,01 Jan 2011 20:32
Rancid,...And Out Come the Wolves,Maxwell Murder,01 Jan 2011 20:31
Mad Caddies,Keep It Going,State of Mind,01 Jan 2011 20:27
Blood or Whiskey,Cashed Out on Culture,They Say No!,01 Jan 2011 20:23
The Dubliners,The Dubliners,All For Me Grog,01 Jan 2011 20:19
The Pogues,The Best of The Pogues,Boys From The County Hell,01 Jan 2011 20:16
The Bloody Irish Boys,Drunk Rock,Drunk Tonight,01 Jan 2011 20:13
Street Dogs,Back to the World,You Alone,01 Jan 2011 20:10
Flogging Molly,,The Kilburn High Road,01 Jan 2011 20:06
Evergrey,Solitude-Dominance-Tragedy,Words Mean Nothing,21 Dec 2010 14:44
Pretty Balanced,Icicle Bicycle,Couch,22 Nov 2010 02:31
Dawn of the Gecko,Mighty Though God Is...,Jim's Girl,22 Nov 2010 02:27
Vermillion Lies,What's in the Box?,Wednesday's Child,22 Nov 2010 02:22
The Dresden Dolls,Yes Virginia...,Shores Of California,22 Nov 2010 02:19
Avantasia,The Metal Opera,Avantasia,02 Oct 2010 22:31
ReVamp,ReVamp,Under My Skin,02 Oct 2010 22:27
Jorn,Lonely Are The Brave,Man Of The Dark,02 Oct 2010 22:21
Serenity,Fallen Sanctuary,All Lights Reversed,02 Oct 2010 22:15
HammerFall,Legacy of Kings,Remember Yesterday,02 Oct 2010 22:10
Dark Moor,Tarot,Lovers,02 Oct 2010 22:06
Iced Earth,The Dark Saga,The Hunter,02 Oct 2010 22:02
Leaves' Eyes,Njord,My Destiny,02 Oct 2010 21:58
Avantasia,The Wicked Symphony,The Wicked Symphony,02 Oct 2010 21:48
Symphony X,Paradise Lost,Eve Of Seduction,02 Oct 2010 21:43
Masterplan,Big Bad Bay Area,Hey Girl,02 Oct 2010 21:39
Rhapsody of Fire,The Frozen Tears Of Angels,Dark Frozen World,02 Oct 2010 21:37
Kamelot,The Fourth Legacy,The Shadow Of Uther,02 Oct 2010 21:32
Revue Noir,ANTHOLOGY ARCHIVE,Strange Little Show,02 Oct 2010 21:27
Frank the Baptist,The New Colossus (strob 026),Scars Forever,02 Oct 2010 21:22
Johnny Hollow,Dirty Hands,Die for Love,02 Oct 2010 21:17
Ego Likeness,The Order of the Reptile,Aviary,02 Oct 2010 21:13
Jill Tracy,Diabolical Streak,Just the Other Side of Pain,02 Oct 2010 21:06
The Dresden Dolls,Yes Virginia...,My Alcoholic Friends,02 Oct 2010 21:03
Humanwine,for burning cities present,Fattest Thin,02 Oct 2010 21:01
Abaddon,I Am Legion,Holy Man,02 Oct 2010 20:53
Ben Folds,Ben Folds Live (Clean Version),Tiny Dancer,27 Sep 2010 16:27
Amorphis,Tales From the Thousand Lakes,Light My Fire,27 Sep 2010 16:24
