username,artist,album,song,date
ibprivat,Yes,Yessongs,Yours Is No Disgrace - Live LP from Yessongs,09 Aug 2015 10:50
ibprivat,Sara Bareilles,,Brave,28 May 2014 21:51
ibprivat,Bruno Mars,,Natalie,28 May 2014 21:47
ibprivat,Katy Perry,,Walking on Air,28 May 2014 21:43
ibprivat,Adele,,Rumour Has It,28 May 2014 21:40
ibprivat,Amy Winehouse,,Back to Black,28 May 2014 21:36
ibprivat,Florence + the Machine,,Dog Days Are Over,28 May 2014 21:32
ibprivat,Duffy,,I'm Scared,28 May 2014 21:28
ibprivat,Katy Perry,,Roar,28 May 2014 21:24
ibprivat,Birdy,,Wings,28 May 2014 21:20
ibprivat,Alicia Keys,,Try Sleeping with a Broken Heart,28 May 2014 21:16
ibprivat,Adele,,Cold Shoulder,28 May 2014 21:12
ibprivat,Beyoncé,,Mine (feat. Drake),28 May 2014 21:08
ibprivat,Adele,,Rolling in the Deep,28 May 2014 21:02
ibprivat,Elvis Costello,,Pay It Back,27 Mar 2014 11:11
ibprivat,Elvis Costello,,Pump It Up,27 Mar 2014 11:08
ibprivat,Richard Thompson,,Persuasion,27 Mar 2014 11:04
ibprivat,Elvis Costello,,Alison,27 Mar 2014 11:00
ibprivat,The Replacements,,Alex Chilton,27 Mar 2014 10:57
ibprivat,Elvis Costello and The Roots,,Come the Meantimes,27 Mar 2014 10:53
ibprivat,Joe Jackson,,A Slow Song,27 Mar 2014 10:47
ibprivat,Marshall Crenshaw,,Mary Anne,27 Mar 2014 10:42
ibprivat,Graham Parker,,Watch The Moon Come Down,27 Mar 2014 10:38
ibprivat,XTC,,Dear God,27 Mar 2014 10:34
ibprivat,Squeeze,,Up The Junction,27 Mar 2014 10:31
ibprivat,Nick Lowe,,Cruel to Be Kind,27 Mar 2014 10:27
ibprivat,Elvis Costello,,God Give Me Strength,27 Mar 2014 10:22
ibprivat,Joe Jackson,,I'm The Man,27 Mar 2014 10:16
ibprivat,Graham Parker,,You Can't Be Too Strong,27 Mar 2014 10:12
ibprivat,Elvis Costello,,Less Than Zero,27 Mar 2014 10:08
ibprivat,Elvis Costello and The Roots,,SUGAR Won’t Work,27 Mar 2014 10:05
ibprivat,Elvis Costello & The Attractions,,Pump It Up,27 Mar 2014 10:01
ibprivat,Elvis Costello,,She,27 Mar 2014 09:58
ibprivat,Graham Parker,,Stupefaction,08 Feb 2014 09:54
ibprivat,Graham Parker,,Stupefaction,08 Feb 2014 09:38
ibprivat,Graham Parker,,Stupefaction,08 Feb 2014 09:34
ibprivat,Graham Parker,,Stupefaction,07 Feb 2014 20:05
ibprivat,Ian Dury and the Blockheads,,I Want To Be Straight,07 Feb 2014 20:01
ibprivat,The Flying Burrito Brothers,,Dark End Of The Street,07 Feb 2014 19:57
ibprivat,Gram Parsons,,Streets of Baltimore,07 Feb 2014 19:54
ibprivat,Lou Reed,,Walk on the Wild Side,07 Feb 2014 19:49
ibprivat,Squeeze,,Another Nail In My Heart,07 Feb 2014 19:44
ibprivat,Elvis Costello & The Attractions,,Oliver's Army,07 Feb 2014 19:41
ibprivat,Elvis Costello,,45,07 Feb 2014 19:37
ibprivat,Elvis Costello and The Roots,,Wise Up Ghost,07 Feb 2014 19:33
ibprivat,Elvis Costello,,Busy Bodies,07 Feb 2014 19:28
ibprivat,Matthew Sweet,,Girlfriend,07 Feb 2014 19:24
ibprivat,Roxy Music,,Oh Yeah,07 Feb 2014 19:19
ibprivat,Elvis Costello,,Radio Radio,07 Feb 2014 19:15
ibprivat,Nick Lowe,,Old Toy Trains,07 Feb 2014 11:13
ibprivat,Elvis Costello and The Roots,,Refuse to Be Saved,07 Feb 2014 11:09
ibprivat,Squeeze,,Tempted,07 Feb 2014 11:05
ibprivat,Elvis Costello,,Good Year For The Roses,07 Feb 2014 11:01
ibprivat,Elvis Costello,,Everyday I Write The Book,07 Feb 2014 10:58
ibprivat,Joe Jackson,,It's Different For Girls,07 Feb 2014 10:54
ibprivat,Elvis Costello,,Alison,07 Feb 2014 10:50
ibprivat,Whitney Houston,,How Will I Know,02 Feb 2014 13:14
ibprivat,Jessie J,,Price Tag,02 Feb 2014 13:10
ibprivat,Ellie Goulding,,Atlantis,02 Feb 2014 13:06
ibprivat,Lana Del Rey,,Video Games,02 Feb 2014 13:02
ibprivat,Justin Timberlake,,FutureSex/LoveSound,02 Feb 2014 12:57
ibprivat,Kelly Clarkson,,Breakaway,02 Feb 2014 12:53
ibprivat,Christina Perri,,Tragedy,02 Feb 2014 12:49
ibprivat,Adele,,Crazy for You,02 Feb 2014 12:45
ibprivat,Ariana Grande,,Lovin' It,02 Feb 2014 12:42
ibprivat,Emeli Sandé,,Next to Me,02 Feb 2014 12:39
ibprivat,Adele,,One and Only,02 Feb 2014 12:34
ibprivat,Maroon 5,,Secret,02 Feb 2014 12:29
ibprivat,Adele,,Chasing Pavements,02 Feb 2014 12:24
ibprivat,Katy Perry,,Roar,02 Feb 2014 12:20
ibprivat,James Blunt,,You're Beautiful,02 Feb 2014 12:17
ibprivat,Justin Timberlake,,FutureSex/LoveSound,02 Feb 2014 12:13
ibprivat,Maroon 5,,Sweetest Goodbye,02 Feb 2014 12:09
ibprivat,Alicia Keys,,Fallin',02 Feb 2014 12:05
ibprivat,Amy Winehouse,,You Sent Me Flying,02 Feb 2014 12:00
ibprivat,Lily Allen,,Fuck You,02 Feb 2014 11:56
ibprivat,Whitney Houston,,I Have Nothing,02 Feb 2014 11:51
ibprivat,Leona Lewis,,Fingerprint,02 Feb 2014 11:46
ibprivat,Adele,,Lovesong,02 Feb 2014 11:40
ibprivat,Colbie Caillat,,Brighter Than the Sun,02 Feb 2014 11:35
ibprivat,Adele,,Someone Like You,02 Feb 2014 11:30
