username,artist,album,song,date
kamui-69,Chris Cornell,,You Know My Name,17 Nov 2008 23:00
kamui-69,Jack White & Alicia Keys,Quantum of Solace,Another Way to Die,17 Nov 2008 22:37
kamui-69,Jack White & Alicia Keys,Quantum of Solace,Another Way to Die,17 Nov 2008 22:31
kamui-69,Jack White & Alicia Keys,Quantum of Solace,Another Way to Die,17 Nov 2008 22:27
kamui-69,David Arnold,Quantum Of Solace,I Never Left,17 Nov 2008 22:26
kamui-69,David Arnold,Quantum Of Solace,The Dead Don't Care About Vengeance,17 Nov 2008 22:25
kamui-69,David Arnold,Quantum Of Solace,Perla de Las Dunas,17 Nov 2008 22:17
kamui-69,David Arnold,Quantum Of Solace,Have You Ever Killed Someone?,17 Nov 2008 22:15
kamui-69,David Arnold,Quantum Of Solace,Oil Fields,17 Nov 2008 22:13
kamui-69,David Arnold,Quantum Of Solace,Camille's Story,17 Nov 2008 22:09
kamui-69,David Arnold,Quantum Of Solace,Target Terminated,17 Nov 2008 22:05
kamui-69,David Arnold,Quantum Of Solace,DC3,17 Nov 2008 22:03
kamui-69,David Arnold,Quantum Of Solace,Forgive Yourself,17 Nov 2008 22:01
kamui-69,David Arnold,Quantum Of Solace,Field Trip,17 Nov 2008 22:00
kamui-69,David Arnold,Quantum Of Solace,Bolivian Taxi Ride,17 Nov 2008 21:59
kamui-69,David Arnold,Quantum Of Solace,What's Keeping You Awake,17 Nov 2008 21:58
kamui-69,David Arnold,Quantum Of Solace,Talamone,17 Nov 2008 21:57
kamui-69,David Arnold,Quantum Of Solace,Restrict Bond's Movement,17 Nov 2008 21:55
kamui-69,David Arnold,Quantum Of Solace,Night at the Opera,17 Nov 2008 21:52
kamui-69,David Arnold,Quantum Of Solace,No Interest in Dominic Greene,17 Nov 2008 21:50
kamui-69,David Arnold,Quantum Of Solace,Pursuit at Port au Prince,17 Nov 2008 21:44
kamui-69,David Arnold,Quantum Of Solace,Greene & Camille,17 Nov 2008 21:41
kamui-69,David Arnold,Quantum Of Solace,Somebody Wants to Kill You,17 Nov 2008 21:39
kamui-69,David Arnold,Quantum Of Solace,Bond in Haiti,17 Nov 2008 21:38
kamui-69,David Arnold,Quantum Of Solace,Inside Man,17 Nov 2008 21:38
kamui-69,David Arnold,Quantum Of Solace,The Palio,17 Nov 2008 21:33
kamui-69,David Arnold,Quantum Of Solace,Time to Get Out,17 Nov 2008 21:29
kamui-69,Jack White & Alicia Keys,Quantum of Solace,Another Way to Die,17 Nov 2008 21:23
kamui-69,Jack White & Alicia Keys,Quantum of Solace,Another Way to Die,17 Nov 2008 21:18
kamui-69,Eddie Vedder,Into the Wild,Guaranteed,10 Nov 2008 22:01
kamui-69,Eddie Vedder,Into the Wild,End of the Road,10 Nov 2008 21:32
kamui-69,Eddie Vedder,Into the Wild,The Wolf,10 Nov 2008 21:31
kamui-69,Eddie Vedder,Into the Wild,Society,10 Nov 2008 21:27
kamui-69,Eddie Vedder,Into the Wild,Hard Sun,10 Nov 2008 21:21
kamui-69,Eddie Vedder,Into the Wild,Tuolumne,10 Nov 2008 21:20
kamui-69,Eddie Vedder,Into the Wild,Long Nights,10 Nov 2008 21:18
kamui-69,Eddie Vedder,Into the Wild,Rise,10 Nov 2008 21:15
kamui-69,Eddie Vedder,Into the Wild,Far Behind,10 Nov 2008 21:13
kamui-69,Eddie Vedder,Into the Wild,No Ceiling,10 Nov 2008 21:11
kamui-69,Eddie Vedder,Into the Wild,Setting Forth,10 Nov 2008 21:10
kamui-69,Chris Cornell,,You Know My Name,10 Nov 2008 21:05
kamui-69,Linkin Park,Meteora,Numb,07 Nov 2008 15:41
kamui-69,Linkin Park,Meteora,Session,07 Nov 2008 15:39
kamui-69,Linkin Park,Meteora,Nobody's Listening,07 Nov 2008 15:36
kamui-69,Linkin Park,Meteora,From the Inside,07 Nov 2008 15:33
kamui-69,Linkin Park,Meteora,Breaking the Habit,07 Nov 2008 15:29
kamui-69,Linkin Park,Meteora,Figure.09,07 Nov 2008 15:26
kamui-69,Linkin Park,Meteora,Faint,07 Nov 2008 15:23
