username,artist,album,song,date
AkaGambit,鷺巣詩郎,,Blaze of the Soul Reaper,09 Jan 2008 06:23
AkaGambit,鷺巣詩郎,,Battle Ignition,09 Jan 2008 06:21
AkaGambit,Evanescence,Fallen,Taking Over Me,22 Dec 2007 07:23
AkaGambit,Evanescence,Fallen,Imaginary,22 Dec 2007 07:19
AkaGambit,Evanescence,Fallen,Tourniquet,22 Dec 2007 07:14
AkaGambit,Evanescence,Fallen,Haunted,22 Dec 2007 07:11
AkaGambit,Evanescence,Fallen,My Immortal,22 Dec 2007 07:07
AkaGambit,Evanescence,Fallen,Everybody's Fool,22 Dec 2007 07:04
AkaGambit,Evanescence,Fallen,Bring Me to Life,22 Dec 2007 07:00
AkaGambit,Linkin Park,Minutes to Midnight,Given Up,21 Dec 2007 03:33
AkaGambit,Linkin Park,Minutes to Midnight,Wake,21 Dec 2007 03:31
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:09
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:09
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:08
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:06
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:05
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:03
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:02
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:00
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 20:00
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 19:59
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 19:58
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:28
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:27
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:25
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:24
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:19
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:17
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:16
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:14
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:13
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:11
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:10
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:01
AkaGambit,D. Gray Man (Aka Gambit Rip),,Opening 3,17 Dec 2007 18:00
AkaGambit,Paul Linford and Chris Vrenna,,Most Wanted Mash Up,16 Dec 2007 00:17
AkaGambit,Jamiroquai,,Feels Just Like it Should (Timo Maas Remix),16 Dec 2007 00:14
AkaGambit,Avenged Sevenfold,,Blinded in Chains,16 Dec 2007 00:08
AkaGambit,Paul Linford and Chris Vrenna,,The Mann,16 Dec 2007 00:05
AkaGambit,Bullet for My Valentine,,Hand of Blood,16 Dec 2007 00:01
AkaGambit,Evol Intent Mayhem & Thinktank,,Broken Sword,15 Dec 2007 23:56
AkaGambit,Mastodon,,Blood and Thunder,15 Dec 2007 23:52
AkaGambit,Stratus,,You Must Follow (Evol Intent VIP),15 Dec 2007 23:48
AkaGambit,The Roots and BT,,Tao of the Machine (Scott Humphrey's remix),15 Dec 2007 23:45
AkaGambit,The Prodigy,,You'll Be Under My Wheels,15 Dec 2007 23:41
AkaGambit,Disturbed,,Decadence,15 Dec 2007 23:38
AkaGambit,Diesel Boy + Kaos,,Barrier Break,15 Dec 2007 23:32
AkaGambit,Static-X,,Skinnyman,15 Dec 2007 23:28
AkaGambit,Hyper,,We Control,15 Dec 2007 23:26
AkaGambit,Celldweller,,One Good Reason,15 Dec 2007 23:22
AkaGambit,Ils,,Feed The Addiction,15 Dec 2007 23:18
AkaGambit,Lupe Fiasco,,Tilted,15 Dec 2007 23:15
